amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha,beta,sharpe_ratio,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,CAGR_3Y (%),Sharpe Ratio,Alpha,Maximum Drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,Fund Score
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,14.12,17.16,19.0,16.14,1.02,0.98,0.9,1.5,19.0,-26.99,37835,1.61,4,High,26.87,1.132,0.266,-0.1725,11.0,6.0,8.0,38.0,22.0,14.3
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,20.2,20.08,20.61,19.39,0.69,0.98,0.8,1.23,25.0,-17.01,35124,1.52,4,Very High,27.0,0.95,0.3006,-0.3117,10.0,13.0,2.0,26.5,37.0,14.325
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,15.84,14.0,14.7,13.14,0.86,0.88,1.0,1.68,14.0,-16.07,20909,1.51,4,Moderate,22.65,1.082,0.2183,-0.1741,14.0,8.0,11.0,24.5,23.0,14.375
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,15.25,11.3,14.23,9.52,1.78,0.87,0.81,1.29,14.0,-24.43,1231,0.66,3,Moderate,16.27,0.953,0.1987,-0.118,23.0,12.0,15.0,4.0,11.0,14.599999999999998
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,11.48,13.38,13.48,12.25,1.13,0.97,0.96,1.45,14.0,-33.5,10611,0.92,4,Moderate,18.43,0.776,0.1773,-0.152,19.0,18.0,16.0,14.0,18.0,17.299999999999997
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,10.14,11.77,12.31,9.97,1.8,1.04,0.91,1.24,13.0,-26.75,20284,0.89,5,Moderate,20.01,0.665,0.1514,-0.1165,17.0,19.0,23.0,13.0,10.0,17.4
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,14.42,12.33,14.72,10.63,1.7,1.02,0.88,1.48,14.0,-18.14,39475,0.72,3,Moderate,21.09,0.645,0.1564,-0.1863,15.0,21.0,22.0,5.5,26.0,17.575
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,13.76,12.1,11.31,11.17,0.93,0.9,0.93,1.29,13.0,-24.42,7350,1.57,4,Moderate,19.67,0.817,0.1705,-0.1086,18.0,16.0,19.0,34.0,7.0,18.999999999999996
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,15.63,11.54,11.46,10.88,0.66,0.96,0.82,1.12,14.0,-25.91,36022,1.42,4,Moderate,13.98,0.798,0.177,-0.139,25.0,17.0,17.0,20.0,14.0,19.549999999999997
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,14.91,14.56,15.68,12.86,1.7,0.99,0.91,1.55,16.0,-33.15,49046,1.52,5,Moderately High,14.75,0.926,0.2087,-0.1527,24.0,15.0,14.0,26.5,19.0,19.625
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,16.67,14.76,12.6,14.21,0.55,0.92,0.98,1.5,15.0,-21.89,2571,1.41,4,Moderately High,18.42,0.649,0.1625,-0.1983,20.0,20.0,20.0,19.0,27.0,20.55
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,8.89,7.68,7.94,5.83,1.85,0.26,7.68,10.37,0.5,-2.62,39116,0.74,5,Low,7.39,0.496,0.0675,-0.001,29.0,23.0,31.0,7.0,1.0,21.8
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,13.95,12.14,13.66,10.71,1.43,0.87,0.87,1.54,14.0,-17.4,15866,0.75,4,Moderate,20.82,0.13,0.0823,-0.2175,16.0,29.0,28.0,8.0,31.0,21.950000000000003
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,17.43,15.34,15.78,13.55,1.79,1.0,0.96,1.37,16.0,-12.14,17912,1.64,5,Moderately High,25.56,0.62,0.1621,-0.2154,13.0,22.0,21.0,39.5,30.0,22.525000000000002
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,11.96,12.82,12.35,11.0,1.82,0.91,0.92,1.63,14.0,-21.7,41828,1.54,5,Moderate,18.04,0.464,0.1317,-0.1484,21.0,25.0,24.0,30.5,16.0,23.525000000000002
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,19.98,15.29,15.85,14.39,0.9,1.04,0.8,1.38,19.0,-32.22,18792,0.78,4,High,11.25,0.301,0.1199,-0.2112,26.0,27.0,26.0,10.0,29.0,24.15
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,4.26,6.18,8.26,4.66,1.52,0.47,6.18,9.7,0.5,-3.81,27623,0.6,3,Low,6.7,-0.089,0.0646,-0.0012,30.0,34.0,32.0,3.0,2.0,24.549999999999997
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,14.37,12.25,13.42,10.98,1.27,0.93,0.87,1.34,14.0,-17.86,35585,1.59,3,Moderate,17.27,0.494,0.1304,-0.1757,22.0,24.0,25.0,35.0,24.0,25.25
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,21.3,20.15,21.88,19.35,0.8,1.03,0.81,1.14,25.0,-30.87,43630,1.53,4,Very High,8.01,0.448,0.175,-0.2334,27.0,26.0,18.0,28.5,32.0,25.674999999999997
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,6.19,5.31,8.71,4.42,0.89,0.37,1.33,2.38,4.0,-2.23,30030,0.55,4,Low,4.06,-0.357,0.0507,-0.0832,33.0,38.0,35.0,1.0,6.0,27.15
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,5.34,6.07,5.43,4.47,1.6,0.22,1.52,2.11,4.0,-2.3,24101,0.77,5,Low,5.84,-0.227,0.0562,-0.0433,32.0,37.0,34.0,9.0,5.0,27.500000000000004
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,6.18,5.14,7.95,3.96,1.18,0.43,5.14,8.76,0.5,-3.66,38995,0.79,5,Low,6.32,-0.816,0.0609,-0.0016,31.0,40.0,33.0,11.0,3.0,27.849999999999998
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,6.83,7.37,6.41,5.39,1.98,0.44,1.84,2.79,4.0,-6.01,27953,0.56,3,Low,3.92,-0.567,0.0428,-0.0431,34.0,39.0,38.0,2.0,4.0,28.25
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,17.12,18.23,17.75,16.32,1.91,1.0,0.96,1.27,19.0,-21.92,47469,1.56,4,High,7.76,0.076,0.078,-0.24,28.0,30.0,29.0,33.0,33.0,29.950000000000003
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,20.59,23.14,21.82,22.01,1.13,1.04,0.93,1.67,25.0,-24.78,36061,0.72,4,Very High,-1.34,-0.057,0.0488,-0.5257,38.0,32.0,36.0,5.5,40.0,31.424999999999997
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,11.82,11.84,14.14,10.43,1.41,0.91,0.85,1.25,14.0,-27.54,25803,1.64,4,Moderate,0.53,0.031,0.069,-0.144,36.0,31.0,30.0,39.5,15.0,31.974999999999998
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,24.93,22.38,23.8,20.54,1.84,0.97,0.9,1.47,25.0,-23.61,41613,1.53,5,Very High,-4.15,0.163,0.109,-0.3545,39.0,28.0,27.0,28.5,38.0,32.175
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,21.97,20.98,22.62,20.47,0.51,1.0,0.84,1.4,25.0,-14.45,21545,1.38,4,Very High,-11.71,-0.076,0.048,-0.5168,40.0,33.0,37.0,17.0,39.0,34.1
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,10.94,14.84,11.32,14.06,0.78,0.97,1.06,1.7,14.0,-17.41,6434,1.55,5,Moderate,1.29,-0.202,0.0375,-0.2473,35.0,35.0,39.0,32.0,34.0,35.25
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,16.3,15.61,15.86,14.49,1.12,0.92,0.82,1.21,19.0,-13.43,41728,1.51,5,High,-0.77,-0.206,0.029,-0.28,37.0,36.0,40.0,24.5,35.0,35.275000000000006
